IDCell.per.Trip,size,start_depth,end_depth
PNS1,21,12,13
PNS2,25,20,18
PNS3,23,20,18
PNS4,19,20,18
PNS5,18,21,13
PNS6,26,25,22
PRN1,22,21,26
PRN2,23,23,27
PRN3,20,27,30
PRN4,17,19,21
PRN5,25,20,22
PMR1,32,20,22
PMR2,29,20,22
PMR3,31,20,22
PMR4,17,19,21
PMR5,32,19,21
PTB1,35,20,22
PTB2,25,20,22
PTB3,26,20,22
PTB4,23,19,19
PTB5,24,20,20
PTM1,30,20,20
PTM2,25,27,25
PTM3,22,27,25
PTM4,21,23,25
PTM5,29,12,13
PLS1,33,13,15
PLS2,19,13,15
PLS3,20,17,20
PLS4,25,18,22
